,"{'learning_rate': 0.0007, 'gamma': 0.99, 'gae_lambda': 0.92, 'vf_coef': 0.5, 'ent_coef': 0.01, 'max_grad_norm': 0.5, 'n_steps': 5}","{'learning_rate': 0.0005, 'gamma': 0.98, 'gae_lambda': 0.95, 'vf_coef': 0.25, 'ent_coef': 0.02, 'max_grad_norm': 1, 'n_steps': 10}","{'learning_rate': 0.0001, 'gamma': 0.97, 'gae_lambda': 0.9, 'vf_coef': 0.5, 'ent_coef': 0.02, 'max_grad_norm': 0.5, 'n_steps': 20}","{'learning_rate': 0.001, 'gamma': 0.96, 'gae_lambda': 0.85, 'vf_coef': 0.3, 'ent_coef': 0.01, 'max_grad_norm': 1, 'n_steps': 5}","{'learning_rate': 0.0003, 'gamma': 0.95, 'gae_lambda': 0.8, 'vf_coef': 0.4, 'ent_coef': 0.03, 'max_grad_norm': 0.8, 'n_steps': 15}","{'learning_rate': 0.0002, 'gamma': 0.94, 'gae_lambda': 0.93, 'vf_coef': 0.2, 'ent_coef': 0.01, 'max_grad_norm': 0.6, 'n_steps': 10}","{'learning_rate': 0.0008, 'gamma': 0.93, 'gae_lambda': 0.88, 'vf_coef': 0.6, 'ent_coef': 0.005, 'max_grad_norm': 0.7, 'n_steps': 20}","{'learning_rate': 0.0004, 'gamma': 0.92, 'gae_lambda': 0.87, 'vf_coef': 0.7, 'ent_coef': 0.02, 'max_grad_norm': 0.9, 'n_steps': 5}","{'learning_rate': 0.0006, 'gamma': 0.91, 'gae_lambda': 0.89, 'vf_coef': 0.3, 'ent_coef': 0.015, 'max_grad_norm': 1, 'n_steps': 15}","{'learning_rate': 0.0009, 'gamma': 0.9, 'gae_lambda': 0.86, 'vf_coef': 0.4, 'ent_coef': 0.01, 'max_grad_norm': 0.8, 'n_steps': 10}"
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.003024601101670656,0.0034830373045809174,0.006064172320273844,0.004823037648970598,0.006282859300037465,0.004951365240332559,0.0066314431411918714,0.004125312261046699,0.004608895723819286,0.005696384923491322
2,-0.010315021283629633,-0.011858710703020645,-0.008403961317430353,-0.00935451879694339,-0.008857049719309262,-0.010104640349846527,-0.00960822247770152,-0.010201283510001918,-0.010858341762970474,-0.009692956239638674
3,-0.0016755010216774925,-0.0009518202947365474,-0.001999572012651809,-0.002737448448628178,-0.001924368099307212,-0.0012483533970824377,-0.0016914210198633946,-0.0021060602070268907,-0.0014435820131734368,-0.0016095546698740321
4,0.0029516358000121583,0.0019184932244795938,0.001974824303446998,0.001361706719500989,0.0020358075644867925,0.0023069970836550923,0.002683599350031488,0.0013877286802846168,0.001131201986483035,0.0013602557289218013
5,-0.004872349311432389,-0.0003118191433678461,-0.00331419643220619,-0.004385719390555711,-0.003678323060418421,-0.004014647045670049,-0.0003351875082367822,-0.003747320440326489,-0.0013462164562383356,-0.004960809921952412
6,0.00437756920777504,0.006961314143768839,0.004974282277798804,0.004224241248955042,0.0047566877203099765,0.006077166232946733,0.005413286626776834,0.004560286254741848,0.005011605672912259,0.0031494518776446
7,-0.00039559179655487185,0.0005984776739538859,0.0006270830781489968,1.8110836531789478e-05,-8.88056767859787e-05,0.0004499671346851761,0.0001457416750151517,0.0008399639835438971,0.0008461671911032067,0.00017556987231910482
8,-0.00529768045179451,-0.006426010541312383,-0.004955891637885022,-0.007592629415967356,-0.0045065077517863865,-0.005164433459534516,-0.005058894647393104,-0.0055765320528051105,-0.006163504603662198,-0.005244402555566082
9,-0.0032650232354790266,-0.0054231637681034055,-0.003261754744056072,-0.003226832927949749,-0.0036446391873333427,-0.003005826279347449,-0.0030959958577688085,-0.00326378378830965,-0.0039902270132625905,-0.002440615399748144
10,-0.010504997462787012,-0.015824762900906567,-0.013835355811001952,-0.009838908783691867,-0.015565072176813168,-0.014461201435871911,-0.011347431231621007,-0.016077780863155026,-0.01638435410949026,-0.012435273859223299
11,-0.008746671581482169,-0.009218315944463614,-0.010118138416552631,-0.008801758501432328,-0.009544306738563399,-0.009523551596054005,-0.010215506346163023,-0.010239720564518615,-0.009464213836259967,-0.010207537050692286
12,-0.008480045186565002,-0.01129074305737952,-0.010138621405977703,-0.008736470182588713,-0.00986732893140784,-0.01026908217340386,-0.008220991303538336,-0.01010684089486516,-0.010633636566818143,-0.009246846126127178
13,-0.0157723607375057,-0.010852696137232401,-0.014095021558411426,-0.014315704583855471,-0.013500503501404118,-0.015264505012990585,-0.015554808479620583,-0.01239673217909687,-0.011607089503148012,-0.015979375558601218
14,-0.00013083728554164853,0.00048615852657699397,0.0012339915595697046,0.0011170605450447732,0.0008652843396492215,0.0007609691525927093,0.00014465552145871756,0.000365917821831316,0.0005895050467218186,0.0004047577969358814
15,-0.007349045254714572,0.005271392599688578,-0.002247492897728871,0.0031378194884740013,-0.001728639973760709,-0.002664674179567797,-0.006315103290667133,0.0031472682658892476,0.0038770652584092335,-0.004307464743722139
16,-0.0028930462765873973,-0.008332339807669354,-0.005948920949983766,-0.006107044088066895,-0.0051930042297979925,-0.006904669568565231,-0.0018589463174710323,-0.004970281311942345,-0.005870042713598346,0.00036928421211687473
17,-0.003006056688054579,-0.00390867335905375,-0.003717069340409937,-0.003783362512357787,-0.0035943866436953793,-0.004010231885221733,-0.0030345051195520972,-0.005743896492831368,-0.0035121790603456476,-0.002772904252635007
18,0.01872685063242374,0.01694518960959433,0.015265744099136164,0.014180178900200662,0.015994429470992926,0.01583261555822503,0.019017616882610975,0.01588637344844352,0.01610857404174371,0.016374682169791897
19,0.01759226207873102,0.010576669057057857,0.013314586342940138,0.01312389058202048,0.012836718985806971,0.014320111601139019,0.014925237503744119,0.012061764264651996,0.010913033444052582,0.015616699468326662
20,0.0068451654665216645,0.007542285367425644,0.00720882563805973,0.008217080391933987,0.0073619774149034705,0.006668241925270706,0.0066793442653221785,0.006711238487164558,0.007448514623062345,0.0059213926639710155
21,0.006572731646578703,0.007677398690460597,0.006694900162754436,0.005773795877617867,0.006686811388842163,0.006476899250652257,0.007052854566062241,0.00684339732039618,0.007323650397550133,0.006187026197742985
22,-0.01942173557597394,-0.01811352597222393,-0.01589383097647625,-0.014897444013932863,-0.015515620568297252,-0.01655048849384282,-0.012664714426462024,-0.015310582212511237,-0.016285205738700518,-0.01164417522469008
23,-0.0001332482563266166,-0.0021886664808654253,-0.0008134989149380678,-0.0009122204019500354,-0.0005959475380959991,-0.00149850092784277,-0.00017239853032800507,-0.0015518782785431818,-0.0021807425273037803,-0.0002542920815962554
24,0.00028182386509370284,0.0028182755573479667,0.0017992130872622044,0.0026498551772913223,0.0011865408205673548,0.0020098376051169544,-0.00012736739156908572,0.0014026749485178307,0.0017409431260019298,-0.00013083400460316488
25,0.007063068774110726,0.01000633260926042,0.00834342932340022,0.009092874786874568,0.008028403307130068,0.007916284276471315,0.0061110549976850035,0.009575823107060547,0.010687467559772401,0.006610929379910354
26,0.008750788110300061,0.013324795188954956,0.010383351635857843,0.010688203734526423,0.010219827503245715,0.009028366800524278,0.007020289999278684,0.010503635504869843,0.012094023110978581,0.00805258297476184
27,-0.012572873303790293,-0.013534113768315316,-0.013316235613231697,-0.012452676450551188,-0.013805386050309319,-0.013149053769949369,-0.012159979549968341,-0.013336239581635571,-0.013897024693066043,-0.013306439329079581
28,-0.015064651138116988,-0.017941007722872247,-0.015379384059511728,-0.015279084824917511,-0.015170050866957071,-0.015852014497075306,-0.013503359053692454,-0.015234951144247017,-0.016899189748741168,-0.014091765996641796
29,-0.0038425758332645476,-0.005108962261399043,-0.004739845827378581,-0.0035181941509750637,-0.004758636406833638,-0.004735062290713534,-0.003715329598508715,-0.004574885933319001,-0.004936787299990463,-0.0051617675610234615
30,0.01563329705378101,0.018544985352460706,0.015488725202114728,0.015085828764685973,0.015092987504986536,0.014595517440800367,0.013575449306342514,0.014153496976684362,0.016681135534140926,0.014102670258602162
31,-0.0014289663182238325,-0.0012359115568241542,-0.0014461567527742536,-0.0012685602384890583,-0.0014234477754914293,-0.0014142472822757362,-0.0009597926260279179,-0.0012265438181423205,-0.0010821419594607175,-0.0014482404731449322
32,-0.018301848794001402,-0.01869336103633524,-0.016824326732330624,-0.01623527051232629,-0.016293026347384092,-0.01710009005451139,-0.01201531074976105,-0.0169605439096032,-0.018759792611847716,-0.010969979525573471
33,-0.007345050392168386,-0.007825660930702546,-0.007019912204087026,-0.009526161102118695,-0.006943478328871796,-0.00788843080176872,-0.005913094001083408,-0.009245394895726825,-0.008160227885427862,-0.006482583924498901
34,-0.009499802593280192,-0.013111569987798749,-0.012055299947027066,-0.012389190512784603,-0.011878778288418063,-0.012279846852926213,-0.009816824725206029,-0.010663642035969163,-0.01209486086715886,-0.011404758567394766
35,-0.015843419472032844,-0.011658687081074304,-0.014130896751193734,-0.011398623366212,-0.01420196118109109,-0.015002772465409353,-0.01628107869739692,-0.012437147595935668,-0.011601230392565387,-0.01532044487661269
36,0.003133854897872351,0.008071675061466341,0.003666974280511004,0.004208923380926724,0.0035377771588253467,0.002238202217847523,0.0006004258820059085,0.004564668629669911,0.0062786677699389086,0.0007456175327719978
37,0.023008785724098778,0.02790804693963224,0.025232892367075772,0.028016068804404732,0.025083313152044408,0.024870466008019763,0.022956185334925848,0.026926009858650325,0.02804923535066231,0.024394354858396007
38,-0.003133230888351663,-0.00337584707426287,-0.004357353518621352,-0.004300086124316322,-0.004612656812815939,-0.004144684299050713,-0.004460446742294973,-0.005748038024887719,-0.0049257808899243385,-0.005208198460819246
39,-0.017655100467559925,-0.017710312701970116,-0.018091943053096225,-0.01785075771533251,-0.01813931153280044,-0.017913285180905916,-0.018644085471844093,-0.019828627195228245,-0.018180232539295314,-0.018316430031128254
40,0.017363926470403752,0.01826295274349488,0.018525942880202376,0.018279298403958102,0.018483770275368412,0.01842984525794271,0.01595930250022006,0.01819175695010401,0.018397840832329843,0.0174647149995556
41,-0.004565410013319885,0.0007858752171129833,-0.0022002749417728467,-0.0024551444596468044,-0.002173833194961999,-0.0036108732289887755,-0.004686157440140462,-0.0017076531986371592,0.00024240462953105401,-0.0034277249579361437
42,-0.005117158102616035,-0.008637064147890191,-0.005643507824008678,-0.006677883025064378,-0.005655136974621909,-0.004424230575450582,-0.0032847360646249433,-0.006663162022902397,-0.0081257133217536,-0.003047180816026713
43,-0.02790904617214011,-0.021676812793399943,-0.024237450167264595,-0.02651970814362116,-0.024532704572576648,-0.024714600591832427,-0.026811085508487962,-0.023289605048872956,-0.022102818177797988,-0.02543764079706725
44,-0.005085361059054783,-0.004185633568410714,-0.005050244998677391,-0.009606642832935709,-0.005066503332194996,-0.004581727875866976,-0.008880360203135864,-0.005248742566344503,-0.004291352344297006,-0.00940635785856609
