,"{'learning_rate': 0.001, 'batch_size': 64, 'gamma': 0.99, 'buffer_size': 1000000, 'tau': 0.005}","{'learning_rate': 0.0005, 'batch_size': 128, 'gamma': 0.98, 'buffer_size': 500000, 'tau': 0.01}","{'learning_rate': 0.0001, 'batch_size': 256, 'gamma': 0.97, 'buffer_size': 100000, 'tau': 0.02}","{'learning_rate': 0.002, 'batch_size': 32, 'gamma': 0.96, 'buffer_size': 500000, 'tau': 0.005}","{'learning_rate': 0.00025, 'batch_size': 64, 'gamma': 0.95, 'buffer_size': 1000000, 'tau': 0.01}","{'learning_rate': 0.00075, 'batch_size': 128, 'gamma': 0.94, 'buffer_size': 500000, 'tau': 0.005}","{'learning_rate': 0.0002, 'batch_size': 256, 'gamma': 0.93, 'buffer_size': 100000, 'tau': 0.02}","{'learning_rate': 0.0015, 'batch_size': 32, 'gamma': 0.92, 'buffer_size': 500000, 'tau': 0.01}","{'learning_rate': 0.0003, 'batch_size': 64, 'gamma': 0.91, 'buffer_size': 1000000, 'tau': 0.015}","{'learning_rate': 0.0008, 'batch_size': 128, 'gamma': 0.9, 'buffer_size': 500000, 'tau': 0.01}"
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.006905256580856894,0.004989306956822583,0.0073073858550861655,0.007516577977259752,0.00984365623671453,0.004981209680348051,0.0060203085184742135,0.0030728208420992657,0.005434377606885013,0.006683285138196484
2,-0.00805724273399948,-0.0056412670812607795,-0.0070611393562695175,-0.005962194221489589,-0.0033297845544014125,-0.005531122962909265,-0.009127317123000094,-0.012265681674089826,-0.00700124054312081,-0.00909153707824718
3,-0.0021812959724086317,-0.0026468514272839382,-0.0030635242719421283,-0.0025608521573978163,-0.003926806601315084,-0.002799731651655967,-0.004125203768314094,-0.004394047154967395,-0.003922419685402066,-0.002775179801004358
4,0.003599574767179032,0.0017662887827983894,-0.0013171682988745693,0.0077717901451175835,-5.640914446052481e-05,0.004346269764109708,-0.001014094517748553,0.0004317427906585399,0.00281222756363196,-0.0018152240037433822
5,-0.005082925377211878,-0.0019257980845957198,-0.002584247578895839,-0.002480439353702723,-0.0042632699136508564,-0.003325174884089291,-0.006743707148446868,-0.0031967062970729462,-0.0017870093284864175,-0.00753400783802126
6,0.004047719692326883,0.005594259893173106,0.005495326683980254,0.005349052429525365,0.006070690887631154,0.0052946824431715335,0.00787934773957188,0.007998735981869246,0.0073126377312131485,0.0037689753032143004
7,0.0025193407871564725,-8.093774041628482e-05,0.0019879727353355643,-0.00028695218782630945,-0.0005364298268194695,0.0005735492821571988,0.00021223143300243827,0.0012915133966889146,0.0002573518228007237,0.0009754340652492001
8,-0.0030075026738798083,-0.0049390260859440436,-0.010227740021003285,-0.00439533988904167,-0.0003934594243062931,-0.007398361629666624,-0.006768122282471348,-0.008655592388856595,-0.008372410181780142,-0.006401801001958703
9,-0.003378986870016185,-0.0010969244367002068,0.0021128058040611563,-0.004109659159235158,-0.004122555886715313,-0.00031451160284351774,-0.004389329035970141,-0.0009315375633142454,-0.0010397303940123653,-0.00241347043997418
10,-0.011798205267600245,-0.014808850565315428,-0.012177037695916736,-0.01571270012693194,-0.013720555183296632,-0.014965589245240688,-0.01537004062307336,-0.01676048826941317,-0.01753511652388139,-0.014356656552788123
11,-0.0072117711700524405,-0.011851191410731413,-0.008247525803950564,-0.006219549941555262,-0.011926376437250238,-0.009687276870728916,-0.010866554406387422,-0.013244647750991781,-0.00853632934614587,-0.010296083567201896
12,-0.00819072360616454,-0.011135981950238691,-0.010759007812594404,-0.008789452790703551,-0.011142629043402841,-0.00970252509311565,-0.010701953072189945,-0.011498190937464134,-0.00863477304618555,-0.009051680841578784
13,-0.013309901362531724,-0.013613568868679015,-0.011391161460194433,-0.010490778916816483,-0.010059366938759487,-0.013776779354460573,-0.014317219601399886,-0.01528341080641254,-0.016453559551538086,-0.013137459180648353
