Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,TRV,UNH,V,VZ,WBA,WMT
2012-01-03,14.686785697937012,64.11000061035156,48.38999938964844,74.22000122070312,93.9800033569336,25.299999237060547,18.6299991607666,110.37000274658203,38.310001373291016,95.36000061035156,42.13999938964844,52.988277435302734,178.10707092285156,24.540000915527344,65.87999725341797,34.97999954223633,35.06999969482422,98.83999633789062,83.48999786376953,36.54580307006836,26.770000457763672,24.202499389648438,3.509999990463257,66.83000183105469,58.9900016784668,51.4900016784668,25.747499465942383,39.72999954223633,33.060001373291016,60.33000183105469
2012-01-04,14.765713691711426,63.7599983215332,48.2400016784668,74.33000183105469,94.8499984741211,24.3700008392334,18.989999771118164,110.18000030517578,38.849998474121094,94.73999786376953,42.7400016784668,52.940608978271484,177.3804931640625,25.110000610351562,65.4800033569336,34.95000076293945,34.849998474121094,99.38999938964844,84.18000030517578,36.58396911621094,27.399999618530273,24.55500030517578,3.549999952316284,66.80000305175781,58.75,52.2400016784668,25.287500381469727,39.209999084472656,32.83000183105469,59.709999084472656
2012-01-05,14.929642677307129,64.41000366210938,48.79999923706055,73.52999877929688,95.5199966430664,24.6924991607666,18.920000076293945,109.0999984741211,39.5,94.58000183105469,43.09000015258789,52.99781036376953,176.53919982910156,25.399999618530273,65.4000015258789,35.68000030517578,34.685001373291016,99.83000183105469,83.80000305175781,36.96564865112305,27.68000030517578,24.540000915527344,3.677500009536743,66.5199966430664,59.33000183105469,52.59000015258789,25.477500915527344,38.939998626708984,32.720001220703125,59.41999816894531
2012-01-06,15.085714340209961,64.76000213623047,48.27000045776367,73.9800033569336,95.76000213623047,25.264999389648438,18.850000381469727,108.30999755859375,39.90999984741211,93.41999816894531,43.20000076293945,52.606929779052734,174.51242065429688,25.25,64.83000183105469,35.36000061035156,34.46500015258789,100.5999984741211,83.37000274658203,36.70801544189453,28.110000610351562,24.497499465942383,3.634999990463257,66.36000061035156,59.349998474121094,52.779998779296875,25.177499771118164,38.33000183105469,33.08000183105469,59.0
2012-01-09,15.061785697937012,64.19999694824219,48.38999938964844,74.52999877929688,97.0999984741211,25.1875,18.969999313354492,109.48999786376953,39.75,94.69000244140625,43.22999954223633,53.04547882080078,173.6042022705078,25.469999313354492,64.93000030517578,35.29999923706055,34.46500015258789,99.63999938964844,83.87000274658203,36.63167953491211,27.739999771118164,24.587499618530273,3.634999990463257,66.63999938964844,59.689998626708984,52.720001220703125,24.975000381469727,38.369998931884766,33.5,59.18000030517578
2012-01-10,15.115714073181152,65.66999816894531,48.66999816894531,75.0,99.95999908447266,26.197500228881836,18.829999923706055,109.05999755859375,39.630001068115234,98.33000183105469,43.529998779296875,53.941646575927734,173.33651733398438,25.59000015258789,65.19999694824219,36.04999923706055,34.66999816894531,99.69999694824219,84.30000305175781,36.7557258605957,27.84000015258789,24.61750030517578,3.619999885559082,66.33000183105469,60.099998474121094,52.619998931884766,24.950000762939453,38.56999969482422,34.400001525878906,59.040000915527344
2012-01-11,15.091071128845215,66.4000015258789,48.95000076293945,74.73999786376953,99.63999938964844,26.454999923706055,19.06999969482422,107.7699966430664,38.70000076293945,99.76000213623047,43.459999084472656,53.82724380493164,174.30210876464844,25.799999237060547,65.12999725341797,36.65999984741211,34.029998779296875,99.93000030517578,83.7699966430664,36.65076446533203,27.719999313354492,24.53499984741211,3.547499895095825,65.68000030517578,59.900001525878906,53.0099983215332,24.77750015258789,38.900001525878906,34.0099983215332,59.400001525878906
2012-01-12,15.049642562866211,67.54000091552734,49.650001525878906,75.51000213623047,101.94000244140625,26.420000076293945,19.149999618530273,104.97000122070312,38.72999954223633,101.20999908447266,43.38999938964844,54.5232048034668,172.6099395751953,25.75,65.2300033569336,36.849998474121094,33.78499984741211,100.56999969482422,84.27999877929688,36.84160232543945,28.0,24.774999618530273,3.5250000953674316,65.80999755859375,59.79999923706055,52.869998931884766,25.334999084472656,38.91999816894531,33.27000045776367,59.5
2012-01-13,14.993213653564453,67.5999984741211,49.7599983215332,74.5999984741211,102.4800033569336,25.975000381469727,19.059999465942383,106.08999633789062,38.400001525878906,98.95999908447266,43.5099983215332,54.056053161621094,171.28106689453125,25.139999389648438,65.26000213623047,35.91999816894531,33.494998931884766,100.3499984741211,83.5999984741211,36.564884185791016,28.25,24.575000762939453,3.432499885559082,65.80999755859375,59.369998931884766,52.70000076293945,25.184999465942383,38.91999816894531,32.630001068115234,59.540000915527344
2012-01-17,15.16785717010498,68.06999969482422,50.220001220703125,75.23999786376953,103.37000274658203,25.860000610351562,19.309999465942383,106.72000122070312,38.47999954223633,97.68000030517578,43.7400016784668,54.49460220336914,172.08413696289062,25.040000915527344,65.12000274658203,34.90999984741211,33.67499923706055,100.55000305175781,84.2300033569336,37.04198455810547,28.260000228881836,24.809999465942383,3.380000114440918,66.26000213623047,59.689998626708984,53.56999969482422,25.63249969482422,39.02000045776367,33.20000076293945,59.849998474121094
2012-01-18,15.325357437133789,69.22000122070312,50.560001373291016,75.05999755859375,104.26000213623047,26.924999237060547,19.540000915527344,106.83000183105469,39.02000045776367,104.30999755859375,44.880001068115234,55.4765739440918,173.10707092285156,25.389999389648438,65.27999877929688,36.540000915527344,33.79499816894531,101.55999755859375,85.06999969482422,37.08969497680664,28.229999542236328,25.21500015258789,3.494999885559082,66.02999877929688,59.88999938964844,53.939998626708984,25.94499969482422,39.0099983215332,33.75,60.0099983215332
