,"{'learning_rate': 0.0007, 'gamma': 0.99, 'gae_lambda': 0.92, 'vf_coef': 0.5, 'ent_coef': 0.01, 'max_grad_norm': 0.5, 'n_steps': 5}","{'learning_rate': 0.0005, 'gamma': 0.98, 'gae_lambda': 0.95, 'vf_coef': 0.25, 'ent_coef': 0.02, 'max_grad_norm': 1, 'n_steps': 10}","{'learning_rate': 0.0001, 'gamma': 0.97, 'gae_lambda': 0.9, 'vf_coef': 0.5, 'ent_coef': 0.02, 'max_grad_norm': 0.5, 'n_steps': 20}","{'learning_rate': 0.001, 'gamma': 0.96, 'gae_lambda': 0.85, 'vf_coef': 0.3, 'ent_coef': 0.01, 'max_grad_norm': 1, 'n_steps': 5}","{'learning_rate': 0.0003, 'gamma': 0.95, 'gae_lambda': 0.8, 'vf_coef': 0.4, 'ent_coef': 0.03, 'max_grad_norm': 0.8, 'n_steps': 15}","{'learning_rate': 0.0002, 'gamma': 0.94, 'gae_lambda': 0.93, 'vf_coef': 0.2, 'ent_coef': 0.01, 'max_grad_norm': 0.6, 'n_steps': 10}","{'learning_rate': 0.0008, 'gamma': 0.93, 'gae_lambda': 0.88, 'vf_coef': 0.6, 'ent_coef': 0.005, 'max_grad_norm': 0.7, 'n_steps': 20}","{'learning_rate': 0.0004, 'gamma': 0.92, 'gae_lambda': 0.87, 'vf_coef': 0.7, 'ent_coef': 0.02, 'max_grad_norm': 0.9, 'n_steps': 5}","{'learning_rate': 0.0006, 'gamma': 0.91, 'gae_lambda': 0.89, 'vf_coef': 0.3, 'ent_coef': 0.015, 'max_grad_norm': 1, 'n_steps': 15}","{'learning_rate': 0.0009, 'gamma': 0.9, 'gae_lambda': 0.86, 'vf_coef': 0.4, 'ent_coef': 0.01, 'max_grad_norm': 0.8, 'n_steps': 10}"
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.008383469677762895,0.007449354802465164,0.005889400461129338,0.007606541336466526,0.005724860375103271,0.0058384724918005195,0.009373782066039829,0.007914307130502072,0.008601110381734339,0.00919456402730191
2,0.0017888221363646774,0.008357538582243427,0.010462943602660417,0.0022174296613343973,0.009656692306334055,0.010710451452493424,0.00713780086299364,0.0026966764267273304,0.00583063684097309,0.005861908397522033
3,0.009911861730988127,0.010644453688769347,0.009508408970982268,0.008088521946945204,0.009465143203278396,0.009425240664094293,0.010584976827816612,0.011321047826373026,0.01063825513469394,0.01167969918635926
4,0.00023779129989529152,0.001898922745083165,0.0015641368953232563,0.0021226646366931446,0.0016520690984592576,0.0015513295282332511,0.002612258789578936,0.0012384918596937099,-0.0005724993918632157,0.0007138039388675613
5,-0.0017413985165486412,-0.0014122172695163234,-0.00032204199077572005,0.0003583075152650492,-0.0010552105165876013,-0.0005659803668433759,-0.0006958469347367931,-0.0008879447580953406,-0.0016829694772268428,0.00019181918889876333
6,0.0008792957153103697,0.0004069886196239252,0.001556607234919441,-0.0014359340922626546,0.0009889779050639203,0.0017159033451179027,4.719250796792818e-05,-0.0012322421396570218,-0.00016980804629191653,-0.00018023449574578485
7,0.000702193521785695,0.0014678132672693227,0.0017555691335984166,0.003247153768602406,0.001431536805311784,0.0018868675695288058,0.0008010358941508357,0.0013582289621152975,0.00018307460934733675,0.0009984735345561558
8,0.00015119623202102138,-0.0014481772039024237,-0.0014944636774690612,-0.0028460208511434026,-0.0022162803063814503,-0.001387519234331057,-0.0001554956211676518,-0.0037709931331268956,-0.0020647822810845083,-0.0027412135955211586
9,-0.007666825800481558,-0.00754639198006867,-0.007019364936446469,-0.009177353148531487,-0.006958861136799688,-0.006882952650216785,-0.007319809068456763,-0.006717265056707795,-0.006786563679031867,-0.0066381590450607705
