,"{'learning_rate': 0.00025, 'n_steps': 2048, 'batch_size': 64, 'n_epochs': 10, 'gamma': 0.99, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.01}","{'learning_rate': 0.0003, 'n_steps': 1024, 'batch_size': 32, 'n_epochs': 4, 'gamma': 0.98, 'gae_lambda': 0.92, 'clip_range': 0.3, 'ent_coef': 0.0}","{'learning_rate': 0.0002, 'n_steps': 512, 'batch_size': 128, 'n_epochs': 20, 'gamma': 0.99, 'gae_lambda': 0.9, 'clip_range': 0.1, 'ent_coef': 0.02}","{'learning_rate': 0.0001, 'n_steps': 256, 'batch_size': 64, 'n_epochs': 15, 'gamma': 0.97, 'gae_lambda': 0.94, 'clip_range': 0.2, 'ent_coef': 0.05}","{'learning_rate': 0.0005, 'n_steps': 2048, 'batch_size': 32, 'n_epochs': 10, 'gamma': 0.95, 'gae_lambda': 0.95, 'clip_range': 0.25, 'ent_coef': 0.01}","{'learning_rate': 5e-05, 'n_steps': 1024, 'batch_size': 64, 'n_epochs': 5, 'gamma': 0.99, 'gae_lambda': 0.98, 'clip_range': 0.15, 'ent_coef': 0.03}","{'learning_rate': 0.0002, 'n_steps': 2048, 'batch_size': 128, 'n_epochs': 4, 'gamma': 0.98, 'gae_lambda': 0.93, 'clip_range': 0.2, 'ent_coef': 0.02}","{'learning_rate': 0.00015, 'n_steps': 512, 'batch_size': 32, 'n_epochs': 8, 'gamma': 0.96, 'gae_lambda': 0.95, 'clip_range': 0.1, 'ent_coef': 0.04}","{'learning_rate': 0.00035, 'n_steps': 2048, 'batch_size': 64, 'n_epochs': 12, 'gamma': 0.97, 'gae_lambda': 0.96, 'clip_range': 0.2, 'ent_coef': 0.01}","{'learning_rate': 0.0001, 'n_steps': 1024, 'batch_size': 128, 'n_epochs': 6, 'gamma': 0.95, 'gae_lambda': 0.97, 'clip_range': 0.25, 'ent_coef': 0.02}"
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.006265847667170797,0.007071533996905406,0.006065006596682224,0.005491352766434573,0.005905582238876777,0.005921602704241176,0.006013198841731135,0.00616553155726973,0.006421003642992595,0.005959907279684235
2,0.01117966742214983,0.010158453646472354,0.010971300177665833,0.010787224286877926,0.01108174963037029,0.01087846039235789,0.010922182888596381,0.009740300030538577,0.010249789366914383,0.010507898059210046
3,0.009212859887483674,0.00965096104278268,0.009312568138721918,0.008993962015933298,0.009621487838656531,0.00932627472607872,0.009653109943440869,0.00964719618203533,0.009816303452016754,0.009577424578914804
4,0.0016407710045655665,0.0015733643518102496,0.001250067218240666,0.0013646016478237734,0.0014964317519984222,0.0013307746627053728,0.0014477799458366227,0.0014269100584673692,0.0017055823800411173,0.0014877597463346548
5,-0.00017632547928958961,-0.0003608446421358012,-0.00010550436950892224,-0.000566865702782046,-8.697105608750013e-05,-0.0002146416673066381,1.0524326216130128e-05,-9.209367298971941e-05,-0.0006421431235404146,-3.921539295126739e-05
6,0.0014972210682736415,0.002160244074867554,0.001995585226279676,0.0017479853246237498,0.0018371688289687124,0.0017949450685112289,0.0019163975333328772,0.001535411923174284,0.001173369698115734,0.0017388128376716093
7,0.0016422365550622317,0.001953656879311361,0.001556414589194933,0.0018128909799119113,0.001561583899155092,0.001922495963906016,0.001974134335970967,0.0015282288859836974,0.002258444583655857,0.001977276171605698
8,-0.0008707222655499175,-0.00021195573371643125,-0.0012330070986697208,-0.0015287935835756057,-0.0017478169277317355,-0.0011690956807019442,-0.0010993004336068114,-0.001532091923556218,-0.0015596542025781452,-0.0014070958076864398
9,-0.006952918167988383,-0.007389685570444001,-0.007192660615074646,-0.006667826392472584,-0.007060203517800347,-0.0070106078229170855,-0.007021142143944682,-0.007071701491306102,-0.00782205542554792,-0.006977296476602506
